Compare C:\Projects\Marilo\docs\component-specs with C:\Projects\blazor-docs\components
4/14/2026 9:30:23 AM
Filename,Folder,Comparison Result,Left Date,Right Date,Extension,Differences,Prediffer
wai-aria-support.md,aiprompt\accessibility,Text files are different,* 3/30/2026 2:07:01 PM,  3/29/2026 7:36:44 PM,md,13,
commands.md,aiprompt\views,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
overview.md,aiprompt\views,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
events.md,aiprompt,Text files are different,* 3/30/2026 2:19:43 PM,  3/29/2026 7:36:44 PM,md,4,
toolbar.md,aiprompt,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
overview.md,animationcontainer,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
overview.md,appbar,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
wai-aria-support.md,autocomplete\accessibility,Text files are different,* 3/30/2026 2:07:01 PM,  3/29/2026 7:36:44 PM,md,2,
appearance.md,autocomplete,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
data-bind.md,autocomplete,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,2,
events.md,autocomplete,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,3,
overview.md,autocomplete,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,14,
refresh-data.md,autocomplete,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,5,
templates.md,autocomplete,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,4,
virtualization.md,autocomplete,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,5,
appearance.md,avatar,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
overview.md,avatar,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
appearance.md,badge,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,4,
overview.md,badge,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
position.md,badge,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,2,
wai-aria-support.md,breadcrumb\accessibility,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
data-binding.md,breadcrumb,Text files are different,* 3/30/2026 2:10:47 PM,  3/29/2026 7:36:44 PM,md,3,
icons.md,breadcrumb,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,3,
navigation.md,breadcrumb,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
wai-aria-support.md,button\accessibility,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
appearance.md,button,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
events.md,button,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,2,
icons.md,button,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,2,
overview.md,button,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,3,
wai-aria-support.md,buttongroup\accessibility,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
appearance.md,buttongroup,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
events.md,buttongroup,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
icons.md,buttongroup,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,2,
overview.md,buttongroup,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
wai-aria-support.md,calendar\accessibility,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
appearance.md,calendar,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
overview.md,calendar,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,2,
wai-aria-support.md,card\accessibility,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
overview.md,card,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
wai-aria-support.md,carousel\accessibility,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
events.md,carousel,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
overview.md,carousel,Text files are different,* 3/30/2026 2:27:29 PM,  3/29/2026 7:36:44 PM,md,2,
refresh-data.md,carousel,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,4,
template.md,carousel,Text files are different,* 3/30/2026 9:08:29 AM,  3/29/2026 7:36:44 PM,md,1,
wai-aria-support.md,chart\accessibility,Text files are different,* 4/12/2026 12:09:06 PM,  3/29/2026 7:36:44 PM,md,1,
pan.md,chart\pan-and-zoom,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,4,
zoom.md,chart\pan-and-zoom,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,10,
overview.md,chart\tooltip,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,16,
shared.md,chart\tooltip,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,6,
area.md,chart\types,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,8,
